id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
647,Harry Kane,14,1240,20,14.908603698015213,5,4.415884234011173,61,17,1,0,F,Bayern Munich,17,12.635273665189743,19.353104695677757,5.653060976415873
3738,Sehrou Guirassy,13,966,16,11.893352463841438,1,3.3859636038541794,44,22,0,0,F S,VfB Stuttgart,13,9.620022431015968,14.518873654305935,3.1917595341801643
10832,Loïs Openda,15,1217,10,10.829883072525263,4,2.8884575217962265,56,18,4,0,F,RasenBallsport Leipzig,8,9.314329776912928,12.11374144256115,1.6418729918077588
10394,Jonas Wind,15,1329,9,7.178728051483631,4,2.783394332975149,38,19,3,0,F,Wolfsburg,9,6.420951433479786,10.85806393623352,2.6858031041920185
11867,Victor Boniface,15,1282,9,13.429507456719875,7,4.213225081562996,70,18,2,0,F,Bayer Leverkusen,8,12.67173071950674,18.794284254312515,2.9550914876163006
337,Leroy Sané,14,1233,8,8.262044439092278,8,8.041556153446436,43,47,2,0,M,Bayern Munich,8,8.262044439092278,19.517691418528557,6.951408661901951
6496,Ermedin Demirovic,15,1319,8,7.229195192456245,5,2.5632756128907204,38,15,3,0,M,Augsburg,7,5.713641839101911,8.967651724815369,2.4808618649840355
10804,Deniz Undav,12,708,8,8.305728739127517,2,1.9702660478651524,37,11,3,0,F M S,VfB Stuttgart,8,7.5479521211236715,10.700549177825451,2.9885231107473373
3310,Alassane Pléa,15,1140,7,5.205969105474651,2,1.9560410254634917,39,20,1,0,F M S,Borussia M.Gladbach,6,4.448192442767322,9.063017588108778,4.013509649783373
4329,Marvin Ducksch,15,1189,7,5.61895015463233,4,3.2802470847964287,26,25,2,0,F M S,Werder Bremen,5,3.345620032399893,6.513670463114977,2.7246793564409018
8393,Omar Marmoush,14,1023,7,5.172144513577223,3,2.8935035802423954,32,21,5,0,F M S,Eintracht Frankfurt,6,4.414367895573378,7.18548833951354,1.0021916441619396
11866,Álex Grimaldo,15,1346,7,2.2345265597105026,4,3.5878520971164107,31,24,1,0,D,Bayer Leverkusen,7,2.2345265597105026,9.360420819371939,6.033970128744841
8137,Maximilian Beier,14,947,6,4.1284300200641155,0,0.2698329631239176,31,5,0,0,F S,Hoffenheim,6,4.1284300200641155,4.712353195995092,0.8921169228851795
320,Jonas Hofmann,15,1228,5,2.8949644677340984,5,4.1191951259970665,27,35,2,0,M S,Bayer Leverkusen,5,2.8949644677340984,11.507278703153133,6.96746639162302
956,Andrej Kramaric,12,857,5,4.1101334653794765,1,3.6116182301193476,24,35,3,0,F M S,Hoffenheim,2,1.8368034176528454,5.258543765172362,3.138210754841566
6087,Takuma Asano,15,1183,5,6.886748433113098,1,1.2098095193505287,35,13,1,0,F M,Bochum,5,6.886748433113098,6.833488028496504,1.6393361873924732
6098,Niclas Füllkrug,15,1148,5,5.112994823604822,5,3.3457176499068737,27,17,0,0,F S,"Borussia Dortmund,Werder Bremen",5,5.112994823604822,7.021836180239916,1.6893394123762846
6142,Tim Kleindienst,15,1318,5,7.398968068882823,2,1.240777866449207,36,10,2,0,F M,FC Heidenheim,3,5.8834145944565535,5.194558625575155,0.9542619958519936
