id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8824,Jude Bellingham,15,1304,13,8.459546085447073,2,2.394947625696659,37,27,3,0,F M,Real Madrid,13,8.459546085447073,14.212581291794777,6.688554435968399
2252,Borja Mayoral,17,1373,10,8.00749272853136,1,1.5373794622719288,32,13,2,0,F M S,Getafe,7,5.777659829705954,7.586392339318991,0.8215658590197563
2270,Antoine Griezmann,16,1332,9,6.712301081046462,2,3.2310073263943195,34,25,3,0,F M,Atletico Madrid,7,5.225745802745223,16.274662299081683,8.944511167705059
227,Robert Lewandowski,15,1189,8,10.717536576092243,3,1.4915499612689018,48,12,3,0,F S,Barcelona,6,9.230981387197971,14.732983861118555,5.494320956990123
1235,Ante Budimir,17,1234,8,7.583649233914912,2,1.5829259790480137,41,5,4,0,F S,Osasuna,5,5.353816429153085,6.961379685439169,0.9412585441023111
1804,Álvaro Morata,15,1118,8,8.539890246465802,1,0.604448962956667,37,5,1,1,F S,Atletico Madrid,8,8.539890246465802,10.862327069044113,2.801834873855114
2120,Gerard Moreno,15,1169,8,5.547320449724793,2,3.179995169863105,31,24,0,0,F M S,Villarreal,6,4.060765190050006,8.192217165604234,3.4695676621049643
2399,Iñaki Williams,17,1498,8,6.931223388761282,3,3.996337527409196,50,27,2,0,F M,Athletic Club,8,6.931223388761282,12.2442706823349,1.5245130807161331
7020,Gorka Guruzeta,17,1233,8,7.180586813017726,1,1.579472927376628,34,15,2,0,F S,Athletic Club,8,7.180586813017726,8.605016836896539,1.442101590335369
11736,Artem Dovbyk,15,925,8,7.550012867897749,4,2.7110316855832934,38,10,0,0,F S,Girona,7,6.806735258549452,9.274190530180931,1.9230831749737263
2234,Mikel Oyarzabal,16,963,7,6.848325848579407,1,0.8693316206336021,23,12,1,0,F S,Real Sociedad,5,5.361770659685135,5.854498069733381,0.5449886117130518
6637,Hugo Duro,17,1425,7,7.25655610114336,2,1.2367039490491152,33,8,2,0,F M S,Valencia,7,7.25655610114336,8.68727589957416,1.1103657325729728
8015,Rodrygo,17,1252,7,8.436530731618404,4,2.2828156128525734,54,27,0,0,F S,Real Madrid,7,7.693253092467785,12.79845992475748,5.183109607547522
1709,Cristhian Stuani,16,507,6,6.879979267716408,2,1.7445229440927505,23,8,5,0,F S,Girona,6,6.879979267716408,7.720065116882324,0.24471765384078026
2361,Willian José,14,844,6,4.310619968920946,1,0.9331358652561903,21,11,0,1,F S,Real Betis,6,4.310619968920946,5.727132439613342,0.7790835238993168
6531,Alexander Sørloth,15,1037,6,5.187172904610634,1,1.3621254842728376,26,10,1,0,F S,Villarreal,6,5.187172904610634,6.483781035989523,0.4109419956803322
8001,Takefusa Kubo,16,1257,6,3.6205030605196953,3,3.9811283349990845,30,31,1,0,F M S,Real Sociedad,6,3.6205030605196953,7.773006163537502,1.580018138512969
11070,Jørgen Strand Larsen,17,1369,6,7.606547582894564,0,0.7377812415361404,43,9,1,0,F M,Celta Vigo,6,7.606547582894564,8.7939991094172,1.4412577282637358
866,Joselu,17,818,5,6.857428403571248,2,1.666472878307104,34,9,0,0,F S,Real Madrid,5,6.114150794222951,8.504232846200466,2.5312366113066673
2186,Morales,12,620,5,4.486643178388476,0,0.43182695284485817,14,3,0,0,F M S,Villarreal,5,4.486643178388476,5.559524070471525,1.0525178741663694
5169,Youssef En-Nesyri,15,1066,5,4.770267968997359,0,0.1527889110147953,34,4,2,0,F S,Sevilla,5,4.770267968997359,4.261029435321689,0.8642071913927794
6920,Chris Ramos,17,1290,5,4.17375011369586,1,0.7938822377473116,31,6,1,0,F M S,Cadiz,5,4.17375011369586,3.9583895672112703,0.4764665775001049
8014,Abdón Prats,14,633,5,2.128076544031501,1,1.7006855867803097,13,10,1,0,F S,Mallorca,5,2.128076544031501,3.458695689216256,1.0541574209928513
8862,Sergio Arribas,17,1108,5,5.453551407903433,0,1.0770546048879623,34,17,0,0,F M S,Almeria,5,5.453551407903433,7.408605731092393,1.5428510094061494
10143,Bryan Zaragoza,16,1211,5,2.4152035005390644,2,1.9760305061936378,25,15,5,0,F M S,Granada,4,1.6719258856028318,4.645084096118808,1.1735444888472557
10400,Myrto Uzuni,17,1282,5,5.253759738057852,0,1.7434298172593117,32,9,1,0,F M S,Granada,3,3.767204523086548,4.913707539439201,1.4862960241734982
11831,Samu,15,792,5,8.120772738009691,0,1.076588112860918,31,11,2,0,F S,"Alaves,Granada",5,8.120772738009691,8.785096742212772,1.618634795770049
770,Ayoze Pérez,16,1300,4,5.269193347543478,1,3.036444852128625,37,18,3,0,F M,Real Betis,4,5.269193347543478,10.994349546730518,3.846795719116926
2275,Ángel Correa,13,460,4,2.960884138941765,1,1.6898140460252762,14,13,0,0,F M S,Atletico Madrid,4,2.960884138941765,7.814032398164272,3.5603773817420006
