id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3423,Kylian Mbappe-Lottin,15,1236,16,14.62885707616806,2,2.660820096731186,73,23,2,0,F M S,Paris Saint Germain,11,10.068286076188087,17.090622887015343,5.894697800278664
11783,Akor Adams,16,1342,7,7.835884062573314,0,0.7673367951065302,48,11,2,0,F,Montpellier,7,7.835884062573314,8.191356603056192,0.9337826473638415
3210,Wissam Ben Yedder,15,925,6,4.840429801493883,0,1.0117546617984772,21,15,0,0,F S,Monaco,6,4.840429801493883,7.2518266551196575,1.7545936200767756
3277,Alexandre Lacazette,13,1056,6,5.180913195014,0,0.8505750084295869,28,8,1,1,F S,Lyon,5,4.420818105340004,3.278915449976921,0.7057458460330963
10831,Mostafa Mohamed,14,1017,6,3.837875450029969,0,0.4084645099937916,30,8,1,1,F S,Nantes,4,2.3176851589232683,2.9399680458009243,0.7775133782997727
318,Pierre-Emerick Aubameyang,16,1137,5,7.801351118832827,7,4.296637073159218,39,17,1,0,F S,Marseille,4,7.041255999356508,11.311172485351562,1.9123923685401678
2897,Aleksandr Golovin,14,1240,5,2.2542163282632828,2,2.7778931446373463,23,31,5,0,M,Monaco,5,2.2542163282632828,6.604028798639774,3.467384912073612
3721,Romain Del Castillo,16,1308,5,3.5504910983145237,4,4.665069727227092,24,44,2,0,F M S,Brest,2,1.2702056057751179,7.248257901519537,3.4626634009182453
6420,Romain Faivre,16,1362,5,2.664309835061431,1,1.3190036471933126,25,15,1,0,F M S,Lorient,5,2.664309835061431,6.120659247040749,3.737576723098755
8239,Takumi Minamino,15,1048,5,3.77855777554214,4,3.0787720531225204,30,20,0,0,M S,Monaco,5,3.77855777554214,9.762722738087177,3.3618120662868023
8636,Jonathan Christian David,16,1171,5,7.339709088206291,1,1.9025788605213165,33,11,2,0,F S,Lille,4,6.579613909125328,10.619754999876022,3.0107501745224
10794,Thijs Dallinga,15,991,5,6.79341140575707,1,0.986449658870697,31,8,4,0,F S,Toulouse,5,5.273221159353852,6.300839699804783,0.5856380555778742
3799,Wesley Said,10,421,4,4.472736693918705,0,0.18765752762556076,26,4,0,0,F S,Lens,4,4.472736693918705,4.124346822500229,0.0829795841127634
4773,Benjamin Bourigeaud,15,1242,4,3.6935705579817295,2,3.4650310557335615,22,40,2,0,D F M,Rennes,1,1.4132851101458073,6.179402086883783,4.063976399600506
5743,Randal Kolo Muani,11,404,4,2.6278476817533374,2,1.8938601538538933,9,15,1,0,F S,Paris Saint Germain,4,2.6278476817533374,5.235138274729252,2.3210151363164186
8777,Vitinha,15,1081,4,1.270509702153504,1,1.5588818415999413,22,20,0,0,F M S,Paris Saint Germain,4,1.270509702153504,9.909998243674636,8.242610394954681
8997,Terem Igobor Moffi,15,1109,4,4.3222393319010735,2,2.4933311324566603,30,16,2,0,F S,Nice,4,4.3222393319010735,7.482642451301217,1.5496797412633896
9646,Mohamed Bayo,11,836,4,4.609025089070201,1,0.4568795831874013,31,10,3,0,F S,Le Havre,3,3.848929909989238,4.277012949809432,0.327261233702302
9690,Folarin Balogun,13,857,4,4.634075362235308,3,1.5754943564534187,33,14,1,0,F S,Monaco,4,3.1138850934803486,5.50176103040576,1.1612833738327026
11504,Eli Junior Kroupi,15,737,4,3.2115915324538946,2,1.6790226316079497,16,8,0,0,F M S,Lorient,4,3.2115915324538946,4.830406274646521,1.013905760832131
11754,Teddy Teuma,14,1057,4,2.2849291414022446,2,2.203334704041481,24,18,4,0,M S,Reims,3,1.5248339883983135,5.5542092099785805,4.002030530944467
11791,Nabil Alioui,15,965,4,1.4801179505884647,0,1.9206952583044767,23,22,1,0,F M S,Le Havre,4,1.4801179505884647,2.971693187020719,0.9595126556232572
11817,Emanuel Emegha,13,978,4,5.026172585785389,1,0.1818811632692814,22,3,2,0,F S,Strasbourg,4,5.026172585785389,5.361596701666713,0.23646488040685654
3348,Florian Sotoca,14,1129,3,3.2260011471807957,5,3.1095236986875534,28,25,2,1,D F M S,Lens,1,1.705810908228159,9.007267192006111,5.492040134966373
3544,Jeremie Boga,14,938,3,1.8700180891901255,1,1.5052954778075218,14,14,1,0,F S,Nice,3,1.8700180891901255,5.718663085252047,3.705126466229558
3746,Gaetan Laborde,16,1143,3,4.62021454051137,1,1.087732881307602,38,16,1,0,F S,Nice,3,3.8601193986833096,6.371196046471596,1.6922052409499884
3800,Steve Mounie,16,780,3,5.059690486639738,2,1.2006759624928236,28,9,2,0,F S,Brest,3,5.059690486639738,4.311598790809512,1.1446640640497208
5197,Achraf Hakimi,14,1179,3,2.5192659683525562,4,3.8160895630717278,26,24,1,0,D S,Paris Saint Germain,3,2.5192659683525562,10.997868239879608,7.180470690131187
5624,Yunis Abdelhamid,16,1440,3,2.2794975750148296,0,0.1703328713774681,15,3,3,0,D,Reims,3,2.2794975750148296,4.133770285174251,3.061930049210787
5675,Ismaila Sarr,14,815,3,3.2318127304315567,1,1.6685170978307724,18,10,0,0,F M S,Marseille,3,3.2318127304315567,6.814246565103531,2.2506011724472046
5677,Florent Mollet,14,1046,3,4.4418565053492785,3,1.4666858008131385,34,20,3,0,F M S,Nantes,3,4.4418565053492785,7.477077579125762,2.6421187687665224
5800,Lebo Mothiba,15,597,3,5.460810614749789,0,0.18768267706036568,16,5,0,0,F S,Strasbourg,3,5.460810614749789,5.827408976852894,0.34507621452212334
6069,Ablie Jallow,11,708,3,2.081804810091853,1,0.6224705800414085,17,9,1,0,M S,Metz,2,1.3217096906155348,2.0603726152330637,0.6134707722812891
6401,Amine Gouiri,15,1117,3,4.144519807770848,1,1.2798676593229175,39,9,1,0,F M S,Rennes,3,4.144519807770848,5.733129311352968,1.9522581547498703
6863,Téji Savanier,16,1409,3,4.5236447267234325,4,4.4633818436414,46,53,3,0,M,Montpellier,0,2.2433593086898327,5.473752532154322,2.3081558030098677
7169,Moses Simon,16,1360,3,4.169726868160069,4,2.748075231909752,25,20,0,0,F M,Nantes,2,3.409631703980267,7.802190024405718,2.2863202057778835
7268,Bafode Diakite,9,789,3,1.8008105084300041,1,1.0458263829350471,8,7,3,0,D,Lille,3,1.8008105084300041,3.0527258701622486,2.87001359090209
7756,Yusuf Yazici,14,803,3,3.8814920373260975,1,1.5424408167600632,22,14,5,0,D F M S,Lille,3,3.8814920373260975,5.300680041313171,1.485089436173439
8657,Jeremy Le Douaron,16,1127,3,5.319932505488396,0,0.48988351225852966,34,8,2,0,F M S,Brest,3,5.319932505488396,6.393730200827122,0.9832687703892589
8686,Cheick Tidiane Sabaly,14,924,3,1.3646799381822348,0,0.4683205783367157,11,5,1,0,F M S,Metz,3,1.3646799381822348,2.5259713996201754,0.7158074229955673
9632,Deiver Machado,12,636,3,0.9435486104339361,0,1.0716596767306328,9,8,2,0,D S,Lens,3,0.9435486104339361,2.259950291365385,0.5906569603830576
10058,Maghnes Akliouche,13,508,3,2.2527820356190205,1,0.6221514940261841,15,11,1,0,M S,Monaco,3,2.2527820356190205,4.401403408497572,1.7247655857354403
10193,Frank Magri,15,882,3,2.000329753383994,0,0.723747331649065,26,10,3,0,F M S,Toulouse,3,2.000329753383994,4.9283010475337505,2.2523347567766905
10796,Zakaria Aboukhlal,5,383,3,2.5525249391794205,0,0.1845559999346733,14,4,0,0,F M S,Toulouse,2,1.792429804801941,1.5776797384023666,0.10693079978227615
11371,Ibrahim Salah,10,236,3,1.0384999383240938,0,0.12314454838633537,11,2,2,0,F M S,Rennes,3,1.0384999383240938,1.1655495632439852,0.13989413902163506
11380,Vitinha,15,726,3,3.5719105899333954,1,1.6759724766016006,30,14,1,0,F S,Marseille,3,3.5719105899333954,8.029199317097664,3.5778080336749554
11752,Amir Richardson,13,796,3,1.4804821349680424,1,1.0214637946337461,9,8,2,0,M S,Reims,3,1.4804821349680424,2.570732967928052,1.9085164815187454
11767,Gonçalo Ramos,12,683,3,3.161471128463745,0,1.6230592858046293,22,8,0,0,F S,Paris Saint Germain,3,3.161471128463745,5.568434858694673,1.9494471549987793
11782,Mousa Al Tamari,15,1209,3,2.7228162698447704,1,2.1080404482781887,32,11,0,0,F M S,Montpellier,3,2.7228162698447704,5.708263169974089,1.7961863577365875
11907,Mohamed Daramy,15,970,3,3.1721750423312187,4,2.497341237962246,12,16,0,0,F M S,Reims,3,3.1721750423312187,6.5849200040102005,2.3983896002173424
12014,Jake O&#039;Brien,10,900,3,1.9266759268939495,1,0.8749273419380188,7,1,1,0,D,Lyon,3,1.9266759268939495,1.797375412657857,1.7810474298894405
849,Chancel Mbemba,15,1350,2,1.255053747445345,1,0.16414998844265938,10,3,0,0,D,Marseille,2,1.255053747445345,5.478387507144362,5.465258727315813
1754,Joel Asoro,13,586,2,0.7984939441084862,1,0.24769519828259945,5,4,1,0,F M S,Metz,2,0.7984939441084862,1.4546166080981493,0.44237206876277924
2117,Marco Asensio,5,254,2,1.0675526037812233,1,1.2420143783092499,7,9,0,0,F S,Paris Saint Germain,2,1.0675526037812233,3.4493329375982285,1.8060404881834984
2442,Kevin Gameiro,14,662,2,1.3572930097579956,1,2.270679622888565,14,9,0,0,F M S,Strasbourg,1,0.5971978902816772,3.435164611786604,0.6729433313012123
2854,Daler Kuzyaev,16,1258,2,1.4889773847535253,0,0.6848374996334314,12,17,0,0,F M S,Le Havre,2,1.4889773847535253,5.355928482487798,3.4603284243494272
3223,Benjamin André,15,1283,2,2.317204663529992,0,0.4913054555654526,12,8,3,0,M S,Lille,2,2.317204663529992,5.501334927976131,4.362924799323082
3475,Ludovic Blas,15,973,2,2.129121121019125,1,0.7129823863506317,29,9,0,0,F M S,Rennes,2,2.129121121019125,3.462500926107168,1.41010164283216
5684,Arnaud Nordin,7,288,2,1.5218978077173233,1,0.2230096496641636,11,3,1,0,M S,Montpellier,2,1.5218978077173233,2.0184519290924072,0.4810708798468113
7743,Pereira Lage,12,320,2,1.5058042630553246,0,0.13530654273927212,12,3,0,0,F M S,Brest,2,1.5058042630553246,1.347333949059248,0.26830465346574783
7762,Jean-Ricner Bellegarde,3,270,2,0.5845728665590286,2,1.346037745475769,5,3,2,0,F M,Strasbourg,2,0.5845728665590286,2.333690494298935,0.5744543671607971
7908,Marshall Munetsi,12,932,2,4.8334088288247585,3,1.4774786606431007,20,8,1,0,F M S,Reims,2,4.8334088288247585,6.10313193500042,1.5353102535009384
8006,Evann Guessand,16,466,2,2.989902902394533,0,0.7117613311856985,18,5,0,0,F S,Nice,2,2.989902902394533,2.926630025729537,0.5333780664950609
8050,Hichem Boudaoui,14,697,2,2.312554764561355,0,0.402082946151495,12,6,3,0,M S,Nice,2,2.312554764561355,4.6979692513123155,2.1398279517889023
8056,Arnaud Kalimuendo Muinga,14,910,2,3.837230507284403,0,0.5383854256942868,22,10,1,0,F S,Rennes,1,3.0771353878080845,5.204956401139498,1.7219507619738579
8187,Georges Mikautadze,3,264,2,0.7595412321388721,1,0.08711019158363342,10,2,0,0,F,Metz,2,0.7595412321388721,0.8374601751565933,0.14807237964123487
8328,Azz-Eddine Ounahi,10,658,2,0.2837823433801532,0,0.26632028818130493,8,5,1,0,M S,Marseille,2,0.2837823433801532,2.1259819343686104,1.8622186072170734
9182,Sepe Elye Wahi,12,591,2,4.051374044269323,1,1.1555749382823706,20,4,4,1,F S,"Lens,Montpellier",2,4.051374044269323,5.671710353344679,0.5885452227666974
9345,Ahmadou Bamba Dieng,6,327,2,1.2480992414057255,0,0.422234907746315,10,3,1,0,F S,Lorient,2,1.2480992414057255,1.85800214484334,0.4340222328901291
9633,Przemyslaw Frankowski,13,904,2,1.5707039050757885,1,2.1969935819506645,12,15,2,0,D S,Lens,1,0.8106087632477283,4.455149989575148,2.9905885867774487
10271,Vanderson,10,839,2,1.7915809489786625,1,1.5960105769336224,18,9,2,1,D M,Monaco,2,1.7915809489786625,6.6452164724469185,3.3718857504427433
