id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7006,Lautaro Martínez,16,1351,15,10.663748905062675,2,1.3802331238985062,53,13,2,0,F S,Inter,14,9.902450010180473,16.30767859518528,7.432581804692745
1612,Domenico Berardi,13,1163,9,6.36541885137558,3,3.3282038271427155,43,24,5,0,F M,Sassuolo,4,2.558924801647663,7.550331808626652,3.0089206658303738
502,Olivier Giroud,13,971,8,6.160353060811758,4,2.896223057061434,27,18,1,1,F S,AC Milan,5,3.8764566276222467,7.340850576758385,1.0653592124581337
189,Hakan Calhanoglu,16,1341,7,5.599093759432435,2,2.222271545790136,32,24,3,0,M,Inter,1,1.0313007542863488,10.620800700038671,8.546513825654984
594,Romelu Lukaku,13,1093,7,5.563747171312571,1,1.0823119208216667,28,9,3,1,F S,Roma,7,4.802448395639658,7.461342319846153,1.7771444357931614
5322,Victor Osimhen,12,922,7,6.9875323716551065,2,1.3915259018540382,42,8,2,0,F S,Napoli,5,4.703635955229402,7.407755956053734,1.5814818851649761
5992,Marcus Thuram,16,1249,7,8.855851992964745,6,1.9338669572025537,44,12,2,0,F,Inter,7,8.855851992964745,11.945207016542554,3.0505734272301197
8044,Joshua Zirkzee,16,1344,7,4.354463307186961,2,3.0678209476172924,35,22,3,0,F S,Bologna,6,3.593164501711726,8.314472988247871,2.620599754154682
1121,Giacomo Bonaventura,15,1182,6,2.6650605238974094,2,1.8443159982562065,28,25,4,0,M S,Fiorentina,6,2.6650605238974094,6.344251826405525,2.9762850925326347
5556,Ademola Lookman,15,899,6,5.54306235909462,2,2.2077256739139557,30,17,2,0,F M S,Atalanta,6,5.54306235909462,9.18225222080946,2.9620883241295815
6718,Andrea Colpani,16,1221,6,2.607075504027307,1,2.9342704992741346,31,26,0,0,F M,Monza,6,2.607075504027307,9.63235630467534,5.366430997848511
7074,Nicolás González,13,924,6,4.385886132717133,1,0.8320527467876673,42,11,0,0,M S,Fiorentina,5,3.624587297439575,4.872226312756538,1.459230236709118
9965,Matìas Soulè Malvano,14,1227,6,5.357342533767223,1,3.575463183224201,33,38,2,0,F M,Frosinone,5,4.596043687313795,9.047101013362408,3.6037843357771635
10366,Albert Gudmundsson,14,1258,6,2.3521360903978348,0,2.2973796958103776,23,32,2,0,F M,Genoa,6,2.3521360903978348,4.888009142130613,1.4795717531815171
1148,Duván Zapata,15,1157,5,4.16291209962219,1,1.1083083469420671,37,11,0,0,F S,"Atalanta,Torino",5,4.16291209962219,5.271848693490028,2.034474592655897
1433,Federico Chiesa,15,1120,5,4.9701804565265775,1,1.7623303607106209,35,22,1,0,F S,Juventus,4,4.20888162124902,8.806963041424751,4.549957789480686
1473,Matteo Politano,16,1073,5,3.4339501969516277,3,4.409849930554628,34,39,2,0,F M S,Napoli,4,2.67265135794878,9.834069736301899,4.837201979011297
2662,Christian Pulisic,14,1002,5,2.8759010564535856,4,2.0253245467320085,20,18,1,0,F M S,AC Milan,5,2.8759010564535856,8.097855415195227,3.8698751740157604
4895,Andrea Pinamonti,16,1311,5,3.499039888381958,0,1.0866215405985713,38,5,1,0,F,Sassuolo,5,3.499039888381958,6.02098586410284,2.3696563728153706
6253,Gianluca Scamacca,10,494,5,3.641183987259865,1,0.6034199148416519,26,5,0,0,F S,Atalanta,5,3.641183987259865,4.517418555915356,1.511095441877842
7084,Dusan Vlahovic,14,881,5,7.198494262993336,1,0.6555054001510143,38,8,2,0,F S,Juventus,4,4.914597757160664,5.812823005020618,1.9681213963776827
7453,Khvicha Kvaratskhelia,15,1124,5,7.351524252444506,3,2.940292317420244,52,25,3,0,F S,Napoli,5,7.351524252444506,12.319542199373245,3.944180965423584
11936,Lorenzo Lucca,16,897,5,4.435004029422998,1,0.4779549464583397,20,11,0,0,F S,Udinese,5,4.435004029422998,5.424749907106161,0.6898207161575556
1104,Leonardo Pavoletti,11,322,4,2.609986789524555,1,0.1478343103080988,15,4,3,0,F S,Cagliari,4,2.609986789524555,2.457227222621441,0.8868900239467621
1209,Ciro Immobile,15,970,4,4.91760416328907,0,1.4787121042609215,19,10,4,0,F S,Lazio,1,2.6337076611816883,5.214201845228672,1.9053049385547638
1294,Paulo Dybala,11,820,4,3.998574521392584,6,2.2876128405332565,25,22,2,0,F M,Roma,2,2.475976850837469,6.965818494558334,4.791266843676567
6160,Riccardo Orsolini,12,723,4,4.147283297032118,0,1.0612752120941877,20,12,1,0,M S,Bologna,3,2.6247255615890026,4.284222401678562,1.0357122803106904
7224,Boulaye Dia,11,798,4,3.769944980740547,0,0.3358637187629938,22,7,1,0,F M S,Salernitana,3,3.00864614546299,3.7747327089309692,0.7831974700093269
10404,Éderson,15,1273,4,1.784118589013815,1,0.9455375373363495,19,9,2,0,M S,Atalanta,4,1.784118589013815,6.155435100197792,4.548483818769455
11306,Cyril Ngonge,15,1108,4,3.6369303297251463,2,1.3688988955691457,33,17,2,0,F M S,Verona,4,3.6369303297251463,4.391085412353277,1.0435130260884762
12008,Nikola Krstovic,15,967,4,3.6317749693989754,0,0.7404810888692737,32,12,2,0,F S,Lecce,3,2.870476134121418,3.7771792812272906,1.393870435655117
1186,Andrea Belotti,11,553,3,3.034488920122385,2,0.9800964128226042,15,7,0,0,F S,Roma,3,3.034488920122385,4.2648791577667,1.2542234119027853
1219,Luis Alberto,15,1189,3,2.7077943151816726,1,2.416248409077525,26,29,5,0,M S,Lazio,3,2.7077943151816726,6.64423837326467,2.876355117186904
1324,Federico Dimarco,15,1103,3,1.3661191929131746,4,4.6757027339190245,22,33,0,0,D,Inter,3,1.3661191929131746,10.31876495666802,7.140914363786578
1517,Antonio Candreva,14,1074,3,1.977069235406816,2,1.2522783037275076,27,25,1,0,M S,Salernitana,3,1.977069235406816,3.082965936511755,0.8034294554963708
3856,Milan Djuric,15,844,3,2.6918710190802813,1,0.7040236443281174,16,11,2,0,F S,Verona,2,1.1692733643576503,2.6749805621802807,1.140605365857482
6980,Francesco Caputo,13,974,3,3.1113865934312344,0,0.6465864982455969,20,7,0,0,F S,Empoli,2,2.3500877656042576,4.427181720733643,1.9118347391486168
