"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90","color_liga"
"1",8824,"Jude Bellingham",15,1304,13,8.45954608544707,2,2.39494762569666,37,27,3,0,"F M","Real Madrid",13,8.45954608544707,14.2125812917948,6.6885544359684,"España","23-24",0.897239263803681,0.583864377063065,0.138036809815951,0.165295464963727,2.55368098159509,1.86349693251534,0.897239263803681,0.583864377063065,0.98092969038461,0.461633358310702,"red"
"2",2252,"Borja Mayoral",17,1373,10,8.00749272853136,1,1.53737946227193,32,13,2,0,"F M S","Getafe",7,5.77765982970595,7.58639233931899,0.821565859019756,"España","23-24",0.655498907501821,0.524890273538108,0.0655498907501821,0.100775055793499,2.09759650400583,0.852148579752367,0.458849235251275,0.378724970628941,0.497287189030378,0.0538535523028245,"red"
"3",2270,"Antoine Griezmann",16,1332,9,6.71230108104646,2,3.23100732639432,34,25,3,0,"F M","Atletico Madrid",7,5.22574580274522,16.2746622990817,8.94451116770506,"España","23-24",0.608108108108108,0.453533856827464,0.135135135135135,0.218311305837454,2.2972972972973,1.68918918918919,0.472972972972973,0.35309093261792,1.09963934453255,0.604358862682774,"red"
"4",227,"Robert Lewandowski",15,1189,8,10.7175365760922,3,1.4915499612689,48,12,3,0,"F S","Barcelona",6,9.23098138719797,14.7329838611186,5.49432095699012,"España","23-24",0.605550883095038,0.811251717282,0.227081581160639,0.112901174528344,3.63330529857023,0.908326324642557,0.454163162321278,0.698728616356448,1.11519642346566,0.415886363439118,"red"
"5",1235,"Ante Budimir",17,1234,8,7.58364923391491,2,1.58292597904801,41,5,4,0,"F S","Osasuna",5,5.35381642915308,6.96137968543917,0.941258544102311,"España","23-24",0.583468395461912,0.553102456282287,0.145867098865478,0.115448410141265,2.9902755267423,0.364667747163695,0.364667747163695,0.390472835189447,0.507718129408043,0.0686493265552739,"red"
"6",1804,"Álvaro Morata",15,1118,8,8.5398902464658,1,0.604448962956667,37,5,1,1,"F S","Atletico Madrid",8,8.5398902464658,10.8623270690441,2.80183487385511,"España","23-24",0.644007155635063,0.687468803382757,0.0805008944543828,0.0486586821700358,2.97853309481216,0.402504472271914,0.644007155635063,0.687468803382757,0.874427044914105,0.225550213458819,"red"
"7",2120,"Gerard Moreno",15,1169,8,5.54732044972479,2,3.1799951698631,31,24,0,0,"F M S","Villarreal",6,4.06076519005001,8.19221716560423,3.46956766210496,"España","23-24",0.615911035072712,0.427081985008752,0.153977758768178,0.244824264574576,2.38665526090676,1.84773310521814,0.461933276304534,0.312633761423867,0.630709619250967,0.267118126252734,"red"
"8",2399,"Iñaki Williams",17,1498,8,6.93122338876128,3,3.9963375274092,50,27,2,0,"F M","Athletic Club",8,6.93122338876128,12.2442706823349,1.52451308071613,"España","23-24",0.48064085447263,0.416428641514363,0.180240320427236,0.240100385491875,3.00400534045394,1.62216288384513,0.48064085447263,0.416428641514363,0.735637090393953,0.0915929087212628,"red"
"9",7020,"Gorka Guruzeta",17,1233,8,7.18058681301773,1,1.57947292737663,34,15,2,0,"F S","Athletic Club",8,7.18058681301773,8.60501683689654,1.44210159033537,"España","23-24",0.583941605839416,0.524130424307864,0.072992700729927,0.115289994699024,2.48175182481752,1.09489051094891,0.583941605839416,0.524130424307864,0.628103418751572,0.105262889805501,"red"
"10",11736,"Artem Dovbyk",15,925,8,7.55001286789775,4,2.71103168558329,38,10,0,0,"F S","Girona",7,6.80673525854945,9.27419053018093,1.92308317497373,"España","23-24",0.778378378378378,0.734595846606268,0.389189189189189,0.26377605589459,3.6972972972973,0.972972972972973,0.681081081081081,0.662276944075082,0.902353673206793,0.187110795402849,"red"
"11",2234,"Mikel Oyarzabal",16,963,7,6.84832584857941,1,0.869331620633602,23,12,1,0,"F S","Real Sociedad",5,5.36177065968513,5.85449806973338,0.544988611713052,"España","23-24",0.654205607476636,0.640030453138263,0.0934579439252336,0.0812459458536077,2.14953271028037,1.1214953271028,0.467289719626168,0.501100061652816,0.547149352311531,0.0509335151133693,"red"
"12",6637,"Hugo Duro",17,1425,7,7.25655610114336,2,1.23670394904912,33,8,2,0,"F M S","Valencia",7,7.25655610114336,8.68727589957416,1.11036573257297,"España","23-24",0.442105263157895,0.458308806388002,0.126315789473684,0.0781076178346813,2.08421052631579,0.505263157894737,0.442105263157895,0.458308806388002,0.54867005681521,0.0701283620572402,"red"
"13",8015,"Rodrygo",17,1252,7,8.4365307316184,4,2.28281561285257,54,27,0,0,"F S","Real Madrid",7,7.69325309246778,12.7984599247575,5.18310960754752,"España","23-24",0.503194888178914,0.606459876873527,0.287539936102236,0.164100163863204,3.88178913738019,1.9408945686901,0.503194888178914,0.55302937565663,0.920017087242951,0.372587751341275,"red"
"14",1709,"Cristhian Stuani",16,507,6,6.87997926771641,2,1.74452294409275,23,8,5,0,"F S","Girona",6,6.87997926771641,7.72006511688232,0.24471765384078,"España","23-24",1.06508875739645,1.2212980948609,0.355029585798817,0.309678629128891,4.08284023668639,1.42011834319527,1.06508875739645,1.2212980948609,1.37042576039331,0.0434410036403751,"red"
"15",2361,"Willian José",14,844,6,4.31061996892095,1,0.93313586525619,21,11,0,1,"F S","Real Betis",6,4.31061996892095,5.72713243961334,0.779083523899317,"España","23-24",0.639810426540284,0.459663266828063,0.106635071090047,0.0995050093282667,2.239336492891,1.17298578199052,0.639810426540284,0.459663266828063,0.610713174840285,0.0830776269560883,"red"
"16",6531,"Alexander Sørloth",15,1037,6,5.18717290461063,1,1.36212548427284,26,10,1,0,"F S","Villarreal",6,5.18717290461063,6.48378103598952,0.410941995680332,"España","23-24",0.520732883317261,0.450188583813845,0.0867888138862102,0.118217255144219,2.25650916104147,0.867888138862102,0.520732883317261,0.450188583813845,0.562719665611434,0.0356651683811281,"red"
"17",8001,"Takefusa Kubo",16,1257,6,3.6205030605197,3,3.98112833499908,30,31,1,0,"F M S","Real Sociedad",6,3.6205030605197,7.7730061635375,1.58001813851297,"España","23-24",0.429594272076372,0.259224562805706,0.214797136038186,0.285044988186092,2.14797136038186,2.21957040572792,0.429594272076372,0.259224562805706,0.556539820778341,0.113127790346991,"red"
"18",11070,"Jørgen Strand Larsen",17,1369,6,7.60654758289456,0,0.73778124153614,43,9,1,0,"F M","Celta Vigo",6,7.60654758289456,8.7939991094172,1.44125772826374,"España","23-24",0.394448502556611,0.500065217283061,0,0.0485027843230479,2.82688093498904,0.591672753834916,0.394448502556611,0.500065217283061,0.57812996336563,0.0947503254519625,"red"
"19",866,"Joselu",17,818,5,6.85742840357125,2,1.6664728783071,34,9,0,0,"F S","Real Madrid",5,6.11415079422295,8.50423284620047,2.53123661130667,"España","23-24",0.550122249388753,0.754484787678988,0.220048899755501,0.18335276167193,3.74083129584352,0.990220048899756,0.550122249388753,0.672706077603992,0.935673540535504,0.278497915669438,"red"
"20",2186,"Morales",12,620,5,4.48664317838848,0,0.431826952844858,14,3,0,0,"F M S","Villarreal",5,4.48664317838848,5.55952407047153,1.05251787416637,"España","23-24",0.725806451612903,0.651286912991876,0,0.0626845576710278,2.03225806451613,0.435483870967742,0.725806451612903,0.651286912991876,0.807027687649093,0.15278485270157,"red"
"21",5169,"Youssef En-Nesyri",15,1066,5,4.77026796899736,0,0.152788911014795,34,4,2,0,"F S","Sevilla",5,4.77026796899736,4.26102943532169,0.864207191392779,"España","23-24",0.422138836772983,0.402743074305593,0,0.0128996266335193,2.87054409005628,0.337711069418386,0.422138836772983,0.402743074305593,0.359749201856428,0.0729630837010789,"red"
"22",6920,"Chris Ramos",17,1290,5,4.17375011369586,1,0.793882237747312,31,6,1,0,"F M S","Cadiz",5,4.17375011369586,3.95838956721127,0.476466577500105,"España","23-24",0.348837209302326,0.291191868397386,0.0697674418604651,0.0553871328660915,2.16279069767442,0.418604651162791,0.348837209302326,0.291191868397386,0.276166713991484,0.0332418542441934,"red"
"23",8014,"Abdón Prats",14,633,5,2.1280765440315,1,1.70068558678031,13,10,1,0,"F S","Mallorca",5,2.1280765440315,3.45869568921626,1.05415742099285,"España","23-24",0.710900473933649,0.302570124743815,0.14218009478673,0.24180363793085,1.84834123222749,1.4218009478673,0.710900473933649,0.302570124743815,0.491757680931222,0.149880202036898,"red"
"24",8862,"Sergio Arribas",17,1108,5,5.45355140790343,0,1.07705460488796,34,17,0,0,"F M S","Almeria",5,5.45355140790343,7.40860573109239,1.54285100940615,"España","23-24",0.406137184115523,0.44297800244703,0,0.0874863848735707,2.76173285198556,1.38086642599278,0.406137184115523,0.44297800244703,0.601782053969598,0.125321832894001,"red"
"25",10143,"Bryan Zaragoza",16,1211,5,2.41520350053906,2,1.97603050619364,25,15,5,0,"F M S","Granada",4,1.67192588560283,4.64508409611881,1.17354448884726,"España","23-24",0.37159372419488,0.179494892690764,0.148637489677952,0.146856106983838,1.8579686209744,1.11478117258464,0.297274979355904,0.124255433281796,0.34521681969504,0.0872163534238261,"red"
"26",10400,"Myrto Uzuni",17,1282,5,5.25375973805785,0,1.74342981725931,32,9,1,0,"F M S","Granada",3,3.76720452308655,4.9137075394392,1.4862960241735,"España","23-24",0.351014040561622,0.368828686759131,0,0.12239366891836,2.24648985959438,0.631825273010921,0.210608424336973,0.264468336254126,0.344956067511332,0.104342154583163,"red"
