id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
647,Harry Kane,15,1330,21,15.743177562952042,5,4.53820388764143,64,18,1,0,F,Bayern Munich,18,13.469847530126572,19.60217036306858,5.750555451959372
3738,Sehrou Guirassy,14,1056,17,12.764916077256203,1,3.8508283644914627,47,24,0,0,F S,VfB Stuttgart,14,10.491586044430733,16.75418706983328,4.090644486248493
10832,Loïs Openda,16,1307,11,12.225137565284967,4,3.478256270289421,64,19,4,0,F,RasenBallsport Leipzig,9,10.709584269672632,14.098794743418694,1.6418729918077588
11867,Victor Boniface,16,1302,10,13.861824594438076,7,4.380362287163734,71,20,2,0,F S,Bayer Leverkusen,9,13.104047857224941,19.393738597631454,3.0308301337063313
10394,Jonas Wind,16,1419,9,7.178728051483631,4,2.783394332975149,38,19,3,0,F,Wolfsburg,9,6.420951433479786,10.85806393623352,2.6858031041920185
10804,Deniz Undav,13,787,9,8.543133100494742,3,2.6514830626547337,40,15,3,0,F M S,VfB Stuttgart,9,7.785356482490897,11.720127515494823,3.222601816058159
337,Leroy Sané,15,1323,8,8.38327126391232,8,8.811461601406336,46,49,2,0,M,Bayern Munich,8,8.38327126391232,20.863577410578728,7.535682894289494
6496,Ermedin Demirovic,16,1409,8,7.239327254705131,5,2.5632756128907204,39,15,4,0,F M,Augsburg,7,5.723773901350796,8.977783787064254,2.4808618649840355
3310,Alassane Pléa,16,1218,7,5.205969105474651,2,2.0599298351444304,39,22,1,0,F M S,Borussia M.Gladbach,6,4.448192442767322,9.235843252390623,4.082446504384279
4329,Marvin Ducksch,16,1279,7,5.807308118790388,4,3.341225154697895,29,26,3,0,F M S,Werder Bremen,5,3.533977996557951,7.21382774785161,3.2332094963639975
8393,Omar Marmoush,15,1113,7,5.261066358536482,3,2.9542326629161835,35,22,5,0,F M S,Eintracht Frankfurt,6,4.503289740532637,7.250890713185072,1.0021916441619396
11866,Álex Grimaldo,16,1436,7,2.80039618909359,5,3.861725307069719,32,27,1,0,D M,Bayer Leverkusen,7,2.80039618909359,10.691290374845266,7.364839684218168
956,Andrej Kramaric,13,932,6,4.986347433179617,1,3.7805268708616495,27,37,3,0,F M S,Hoffenheim,2,1.9552406929433346,5.967444455251098,3.6026457957923412
6142,Tim Kleindienst,16,1408,6,8.451200930401683,3,1.3655726849101484,40,11,2,0,F M,FC Heidenheim,4,6.935647455975413,6.365387802477926,1.0867935493588448
8137,Maximilian Beier,15,962,6,4.170646093785763,0,0.2698329631239176,32,5,0,0,F S,Hoffenheim,6,4.170646093785763,4.712353195995092,0.8921169228851795
9201,Eren Sami Dinkci,15,1238,6,1.3819734938442707,0,1.1855681063607335,25,16,6,0,M,FC Heidenheim,6,1.3819734938442707,3.9740279987454414,1.8837293945252895
10926,Tim Skarke,14,1104,6,1.7902014795690775,0,0.7274600770324469,39,9,4,0,F M S,Darmstadt,6,1.7902014795690775,3.9607261642813683,1.8409771993756294
261,Julian Brandt,16,1218,5,2.988905543461442,7,7.00577724725008,21,48,1,0,F M S,Borussia Dortmund,5,2.988905543461442,8.580615937709808,3.0059047490358353
320,Jonas Hofmann,16,1304,5,3.1154558919370174,5,4.769451402127743,29,37,2,0,F M S,Bayer Leverkusen,5,3.1154558919370174,13.29347588866949,7.8829158917069435
6087,Takuma Asano,16,1232,5,6.886748433113098,1,1.2098095193505287,35,13,1,0,F M,Bochum,5,6.886748433113098,6.913340520113707,1.719188679009676
6098,Niclas Füllkrug,16,1212,5,5.163508884608746,5,3.4669167436659336,28,19,0,0,F S,"Borussia Dortmund,Werder Bremen",5,5.163508884608746,7.243416238576174,1.7392063084989786
6449,Chris Führich,16,1303,5,5.362527145072818,5,5.201593153178692,29,29,1,0,M,VfB Stuttgart,5,4.604750407859683,11.965409561991692,5.278593402355909
6475,Lucas Höler,16,1190,5,4.419737920165062,1,1.5649978294968605,19,20,2,0,F M S,Freiburg,4,3.6619612723588943,5.315106436610222,1.6348582552745938
8397,Florian Wirtz,16,1291,5,3.997170837596059,7,5.333987325429916,32,37,1,0,M S,Bayer Leverkusen,5,3.997170837596059,15.65357980132103,7.653074003756046
9328,Jeremie Frimpong,16,1355,5,6.193180810660124,6,4.900045529939234,27,28,3,0,D M,Bayer Leverkusen,5,6.193180810660124,14.821709148585796,4.834846127778292
9749,Donyell Malen,15,963,5,4.285626862198114,0,1.1160788387060165,41,7,1,0,F M S,Borussia Dortmund,5,4.285626862198114,5.806462619453669,1.5585263092070818
11982,Jan-Niklas Beste,14,1198,5,2.019425179809332,7,3.166750286705792,23,34,4,0,M,FC Heidenheim,5,1.2616484947502613,1.9250866640359163,0.6204022392630577
4280,Davie Selke,14,1033,4,3.9396789520978928,0,0.32264436036348343,26,10,2,0,F S,FC Cologne,4,3.9396789520978928,3.3068043664097786,0.812477407976985
5113,Santos Borré,13,838,4,2.2445952128618956,0,1.6827735072001815,17,12,0,0,F S,Werder Bremen,4,2.2445952128618956,4.647934393025935,1.2536432780325413
6155,Robin Gosens,13,971,4,1.2512304745614529,0,1.581746687181294,14,13,4,0,D M S,Union Berlin,4,1.2512304745614529,3.5266410037875175,1.9346508588641882
