id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3423,Kylian Mbappe-Lottin,16,1326,18,15.611571371555328,2,2.7873631417751312,81,24,2,0,F M S,Paris Saint Germain,13,11.051000371575356,18.744826421141624,6.5260996371507645
3210,Wissam Ben Yedder,16,1015,8,6.071527142077684,0,1.4280478060245514,23,16,0,0,F S,Monaco,7,5.311432052403688,8.139122020453215,1.7545936200767756
3277,Alexandre Lacazette,14,1144,7,6.6224323362112045,0,0.8505750084295869,32,8,1,1,F S,Lyon,6,5.862337246537209,4.678784295916557,0.7057458460330963
11783,Akor Adams,17,1418,7,9.319892851635814,0,0.8038941379636526,52,12,2,0,F,Montpellier,7,9.319892851635814,9.711922828108072,0.9337826473638415
8997,Terem Igobor Moffi,16,1121,6,5.919454507529736,2,2.9267725627869368,32,17,2,0,F S,Nice,5,5.159359388053417,8.753203907981515,1.5496797412633896
10831,Mostafa Mohamed,15,1061,6,3.871472990140319,0,0.4084645099937916,31,8,1,1,F S,Nantes,4,2.351282699033618,2.987303912639618,0.7912517050281167
318,Pierre-Emerick Aubameyang,17,1227,5,8.345570135861635,7,4.296637073159218,44,17,1,0,F S,Marseille,4,7.585475016385317,11.901061534881592,1.9980926122516394
2897,Aleksandr Golovin,15,1294,5,2.4221872240304947,2,2.7778931446373463,27,31,5,1,M,Monaco,5,2.4221872240304947,6.735146708786488,3.467384912073612
3721,Romain Del Castillo,17,1398,5,3.5504910983145237,5,4.799683002755046,24,45,2,0,F M S,Brest,2,1.2702056057751179,7.484078895300627,3.563871119171381
6420,Romain Faivre,17,1452,5,2.751144153997302,1,1.3688614312559366,27,16,1,0,F M S,Lorient,5,2.751144153997302,6.2825479209423065,3.7627732884138823
8239,Takumi Minamino,16,1125,5,3.8461853694170713,4,3.095469541847706,31,21,0,0,M S,Monaco,5,3.8461853694170713,9.883912563323975,3.4153743013739586
8636,Jonathan Christian David,17,1254,5,7.61537478864193,1,1.967450961470604,36,12,2,0,F S,Lille,4,6.8552796095609665,10.96029281616211,3.2017010152339935
8777,Vitinha,16,1171,5,1.800627333112061,2,2.1310296282172203,24,23,0,0,F M S,Paris Saint Germain,5,1.800627333112061,11.286974495276809,9.043680548667908
10100,Kamory Doumbia,12,333,5,1.8853314109146595,2,0.29025208204984665,10,5,0,0,M S,Brest,5,1.8853314109146595,2.965811125934124,1.0170618370175362
10794,Thijs Dallinga,16,1081,5,7.114648701623082,1,0.986449658870697,36,8,4,0,F S,Toulouse,5,5.594458455219865,7.206663705408573,1.321214148774743
3799,Wesley Said,11,500,4,4.5645540580153465,0,0.18765752762556076,28,4,0,0,F S,Lens,4,4.5645540580153465,4.374515265226364,0.2413306776434183
4773,Benjamin Bourigeaud,15,1242,4,3.6935705579817295,2,3.4650310557335615,22,40,2,0,D F M,Rennes,1,1.4132851101458073,6.179402086883783,4.063976399600506
5743,Randal Kolo Muani,12,473,4,2.7616164637729526,2,1.8938601538538933,10,15,1,0,F M S,Paris Saint Germain,4,2.7616164637729526,5.397633351385593,2.3497414290905
9646,Mohamed Bayo,12,917,4,4.609025089070201,1,0.4568795831874013,31,10,3,0,F S,Le Havre,3,3.848929909989238,4.277012949809432,0.327261233702302
9690,Folarin Balogun,14,916,4,5.050368506461382,3,1.629056591540575,34,15,1,0,F S,Monaco,4,3.530178237706423,5.971616398543119,1.1612833738327026
10193,Frank Magri,16,972,4,2.583274921402335,0,0.723747331649065,31,10,3,0,F M S,Toulouse,4,2.583274921402335,5.466159950941801,2.2523347567766905
11504,Eli Junior Kroupi,16,763,4,3.46573187969625,2,1.6790226316079497,17,8,1,0,F M S,Lorient,4,3.46573187969625,5.084546621888876,1.013905760832131
11754,Teddy Teuma,15,1147,4,2.3735454082489014,2,2.6622368544340134,27,21,4,0,M S,Reims,3,1.6134502552449703,6.382113792002201,4.741318861022592
11791,Nabil Alioui,16,995,4,1.9040414430201054,0,1.9206952583044767,25,22,1,0,F M S,Le Havre,4,1.9040414430201054,3.3956166794523597,0.9595126556232572
11817,Emanuel Emegha,14,1066,4,5.331572361290455,1,0.20731427147984505,24,4,2,0,F S,Strasbourg,4,5.331572361290455,5.679883001372218,0.26960861310362816
3348,Florian Sotoca,15,1216,3,3.2950558699667454,5,3.2822794318199158,30,27,2,1,D F M S,Lens,1,1.7748656310141087,9.322604700922966,5.634621910750866
3475,Ludovic Blas,16,984,3,2.8892162404954433,1,0.7129823863506317,30,9,0,0,F M S,Rennes,2,2.129121121019125,3.462500926107168,1.41010164283216
3544,Jeremie Boga,15,1028,3,1.8700180891901255,2,2.3424155339598656,14,15,1,0,F S,Nice,3,1.8700180891901255,6.673061776906252,3.8224051166325808
3746,Gaetan Laborde,17,1221,3,4.822622422128916,1,1.2117233127355576,41,18,1,0,F S,Nice,3,4.062527280300856,6.753313943743706,1.7479248326271772
3800,Steve Mounie,17,792,3,5.172449428588152,2,1.2006759624928236,29,9,2,0,F S,Brest,3,5.172449428588152,4.424357732757926,1.1446640640497208
5197,Achraf Hakimi,14,1179,3,2.5192659683525562,4,3.8160895630717278,26,24,1,0,D S,Paris Saint Germain,3,2.5192659683525562,10.997868239879608,7.180470690131187
5624,Yunis Abdelhamid,16,1440,3,2.2794975750148296,0,0.1703328713774681,15,3,3,0,D,Reims,3,2.2794975750148296,4.133770285174251,3.061930049210787
5675,Ismaila Sarr,14,815,3,3.2318127304315567,1,1.6685170978307724,18,10,0,0,F M S,Marseille,3,3.2318127304315567,6.814246565103531,2.2506011724472046
5677,Florent Mollet,15,1136,3,4.499826615676284,3,1.5551002835854888,35,21,3,0,F M S,Nantes,3,4.499826615676284,7.6222954001277685,2.729366483166814
5800,Lebo Mothiba,15,597,3,5.460810614749789,0,0.18768267706036568,16,5,0,0,F S,Strasbourg,3,5.460810614749789,5.827408976852894,0.34507621452212334
6069,Ablie Jallow,12,709,3,2.081804810091853,1,0.6224705800414085,17,9,1,0,M S,Metz,2,1.3217096906155348,2.0603726152330637,0.6134707722812891
6401,Amine Gouiri,16,1205,3,4.599324377253652,1,1.3021979751065373,45,10,1,0,F M S,Rennes,3,4.599324377253652,6.337544489651918,2.0795384496450424
6863,Téji Savanier,17,1499,3,4.6088852025568485,4,4.521461503580213,48,55,4,0,M,Montpellier,0,2.3285997845232487,5.652188096195459,2.458456424996257
7169,Moses Simon,17,1450,3,4.290378880687058,4,2.748075231909752,27,20,0,0,F M,Nantes,2,3.530283716507256,7.936580363661051,2.3000585325062275
7268,Bafode Diakite,9,789,3,1.8008105084300041,1,1.0458263829350471,8,7,3,0,D,Lille,3,1.8008105084300041,3.0527258701622486,2.87001359090209
7756,Yusuf Yazici,15,823,3,3.8814920373260975,1,1.5424408167600632,22,14,5,0,D F M S,Lille,3,3.8814920373260975,5.300680041313171,1.485089436173439
8056,Arnaud Kalimuendo Muinga,15,989,3,4.454463247209787,0,0.613786150701344,26,11,2,0,F S,Rennes,2,3.694368127733469,5.880799222737551,1.8452778458595276
8657,Jeremy Le Douaron,17,1210,3,5.473284691572189,0,0.48988351225852966,36,8,2,0,F M S,Brest,3,5.473284691572189,6.997699059545994,1.433885428123176
8686,Cheick Tidiane Sabaly,15,996,3,1.3646799381822348,0,0.4683205783367157,11,5,1,0,F M S,Metz,3,1.3646799381822348,2.5579703506082296,0.7478063739836216
9632,Deiver Machado,12,636,3,0.9435486104339361,0,1.0716596767306328,9,8,2,0,D S,Lens,3,0.9435486104339361,2.259950291365385,0.5906569603830576
10058,Maghnes Akliouche,13,508,3,2.2527820356190205,1,0.6221514940261841,15,11,1,0,M S,Monaco,3,2.2527820356190205,4.401403408497572,1.7247655857354403
10796,Zakaria Aboukhlal,5,383,3,2.5525249391794205,0,0.1845559999346733,14,4,0,0,F M S,Toulouse,2,1.792429804801941,1.5776797384023666,0.10693079978227615
11371,Ibrahim Salah,11,238,3,1.0384999383240938,0,0.12314454838633537,11,2,2,0,F M S,Rennes,3,1.0384999383240938,1.1655495632439852,0.13989413902163506
11380,Vitinha,16,741,3,3.5867982786148787,1,1.6759724766016006,31,14,1,0,F S,Marseille,3,3.5867982786148787,8.029199317097664,3.5778080336749554
11752,Amir Richardson,14,803,3,1.829486969858408,1,1.0214637946337461,10,8,2,0,M S,Reims,3,1.829486969858408,2.9197378028184175,2.257521316409111
11767,Gonçalo Ramos,13,684,3,3.659104198217392,0,1.6230592858046293,23,8,0,0,F S,Paris Saint Germain,3,3.659104198217392,6.066067928448319,2.447080224752426
11782,Mousa Al Tamari,16,1285,3,2.7893183268606663,1,2.258341070264578,34,12,0,0,F M S,Montpellier,3,2.7893183268606663,5.9835147969424725,1.8845800310373306
11907,Mohamed Daramy,16,1037,3,3.264606349170208,4,2.497341237962246,13,16,0,0,F M S,Reims,3,3.264606349170208,6.708057172596455,2.429095458239317
12014,Jake O&#039;Brien,11,990,3,1.9266759268939495,1,0.8749273419380188,7,1,1,0,D,Lyon,3,1.9266759268939495,2.4423222858458757,2.4259943030774593
849,Chancel Mbemba,16,1440,2,1.3950682766735554,1,0.16414998844265938,13,3,0,0,D,Marseille,2,1.3950682766735554,6.011679621879011,5.998550842050463
1754,Joel Asoro,14,658,2,0.7984939441084862,1,0.24769519828259945,5,4,1,0,F M S,Metz,2,0.7984939441084862,1.4546166080981493,0.44237206876277924
2117,Marco Asensio,6,275,2,1.0675526037812233,1,1.2797714993357658,7,10,0,0,F S,Paris Saint Germain,2,1.0675526037812233,3.984723135828972,2.341430686414242
2442,Kevin Gameiro,15,727,2,1.3572930097579956,1,2.270679622888565,14,9,0,0,F M S,Strasbourg,1,0.5971978902816772,3.435164611786604,0.6729433313012123
2854,Daler Kuzyaev,17,1262,2,1.4889773847535253,0,0.6848374996334314,12,17,0,0,F M S,Le Havre,2,1.4889773847535253,5.355928482487798,3.4603284243494272
3223,Benjamin André,16,1373,2,2.3661568704992533,0,0.6062329337000847,13,9,4,0,M S,Lille,2,2.3661568704992533,6.034314177930355,4.846951857209206
5684,Arnaud Nordin,7,288,2,1.5218978077173233,1,0.2230096496641636,11,3,1,0,M S,Montpellier,2,1.5218978077173233,2.0184519290924072,0.4810708798468113
7743,Pereira Lage,13,327,2,1.5058042630553246,0,0.13530654273927212,12,3,0,0,F M S,Brest,2,1.5058042630553246,1.347333949059248,0.26830465346574783
7762,Jean-Ricner Bellegarde,3,270,2,0.5845728665590286,2,1.346037745475769,5,3,2,0,F M,Strasbourg,2,0.5845728665590286,2.333690494298935,0.5744543671607971
7908,Marshall Munetsi,12,932,2,4.8334088288247585,3,1.4774786606431007,20,8,1,0,F M S,Reims,2,4.8334088288247585,6.10313193500042,1.5353102535009384
8006,Evann Guessand,17,556,2,3.56996588781476,0,0.7117613311856985,21,5,0,0,F S,Nice,2,3.56996588781476,4.347116595134139,1.4647035617381334
8050,Hichem Boudaoui,15,787,2,2.6194042740389705,0,0.45780253782868385,15,7,3,0,M S,Nice,2,2.6194042740389705,5.060538345016539,2.1398279517889023
8187,Georges Mikautadze,3,264,2,0.7595412321388721,1,0.08711019158363342,10,2,0,0,F,Metz,2,0.7595412321388721,0.8374601751565933,0.14807237964123487
8328,Azz-Eddine Ounahi,11,732,2,0.31703376676887274,0,0.26632028818130493,9,5,1,0,M S,Marseille,2,0.31703376676887274,2.426028735935688,2.129014004021883
9182,Sepe Elye Wahi,13,602,2,4.051374044269323,1,1.1555749382823706,20,4,4,1,F S,"Lens,Montpellier",2,4.051374044269323,5.671710353344679,0.5885452227666974
9345,Ahmadou Bamba Dieng,7,391,2,1.275146845728159,0,0.4474314730614424,11,4,1,0,F S,Lorient,2,1.275146845728159,2.022287730127573,0.5460636466741562
9633,Przemyslaw Frankowski,14,983,2,1.586403353139758,1,2.2744063064455986,13,17,2,0,D S,Lens,1,0.826308211311698,4.6774718426167965,3.119798284024
10271,Vanderson,11,929,2,1.8637355826795101,1,1.6987654380500317,19,10,2,1,D M,Monaco,2,1.8637355826795101,6.820125974714756,3.3718857504427433
10431,Désiré Doué,15,466,2,1.0384561512619257,0,1.167552286759019,15,12,1,0,F M S,Rennes,2,1.0384561512619257,2.096977598965168,0.9469506740570068
10455,Shamar Nicholson,13,824,2,2.7853538058698177,2,0.7013159925118089,27,10,1,0,F S,Clermont Foot,1,2.025258641690016,2.872071144171059,0.4727715514600277
10564,Leny Yoro,16,1318,2,1.657297226600349,0,0.01648572087287903,9,1,3,0,D S,Lille,2,1.657297226600349,2.8573461174964905,2.811819314956665
10783,Muhammed-Cham Saracevic,17,1407,2,3.61778430826962,3,1.4709543976932764,37,26,2,0,F M S,Clermont Foot,2,2.857689144089818,6.655092615634203,3.880550190806389
10786,Warren Zaïre-Emery,14,1123,2,1.079002171754837,2,0.7899481076747179,10,7,2,0,D M S,Paris Saint Germain,2,1.079002171754837,11.653870910406113,10.519550174474716
10819,Khalil Fayad,14,673,2,1.3910874538123608,0,0.8536534458398819,11,5,2,0,F M S,Montpellier,2,1.3910874538123608,1.2968398071825504,0.4730119099840522
10920,Junya Ito,17,1524,2,4.179234724491835,4,5.781535219401121,35,37,0,0,F M,Reims,2,4.179234724491835,10.186219602823257,3.021985724568367
11753,Oumar Diakité,15,602,2,2.3989178258925676,0,0.8801887258887291,15,5,1,0,F S,Reims,2,1.6388227064162493,2.345013953745365,0.9163360968232155
11755,Keito Nakamura,12,683,2,2.0263440031558275,1,1.1476864516735077,20,6,1,0,F M S,Reims,2,2.0263440031558275,3.209296587854624,0.6594814341515303
11762,Morgan Guilavogui,17,436,2,1.6757850609719753,0,1.7233748733997345,16,11,1,0,F S,Lens,2,1.6757850609719753,6.022048331797123,2.794131349772215
11906,Emmanuel Sabbi,13,405,2,1.406725935637951,0,0.15336444973945618,7,2,2,0,F M S,Le Havre,2,1.406725935637951,2.086145119741559,0.5997805101796985
12049,Aiyegun Tosin,9,626,2,0.8428605441004038,0,0.1049824096262455,5,4,0,0,F M S,Lorient,2,0.8428605441004038,1.5739646656438708,0.6480615874752402
12111,Amir Murillo,9,537,2,0.9218381308019161,1,0.5273075141012669,4,3,1,0,D S,Marseille,2,0.9218381308019161,3.16246110573411,2.205565355718136
677,Jordan Veretout,16,1126,1,1.0026080370880663,2,3.3107492504641414,16,25,3,0,M S,Marseille,1,1.0026080370880663,6.959956089500338,5.328876104205847
734,Wahbi Khazri,14,676,1,1.9431630074977875,0,1.0095210336148739,25,7,0,0,M S,Montpellier,1,1.9431630074977875,3.9965838184580207,1.3141258209943771
1022,Pedro Chirivella,16,1418,1,0.6733733452856541,0,0.2428845539689064,11,5,2,0,M,Nantes,1,0.6733733452856541,5.49503169208765,4.840068660676479
2447,Fabián,13,587,1,1.2439711056649685,2,0.4701274074614048,9,8,2,0,M S,Paris Saint Germain,1,1.2439711056649685,6.292317148298025,4.849590994417667
2478,Carlos Soler,13,441,1,0.8300548195838928,2,1.4982899315655231,5,6,0,0,D M S,Paris Saint Germain,1,0.8300548195838928,3.9229893404990435,1.638510787859559
3226,Ousmane Dembélé,15,975,1,3.9276224561035633,5,4.4032033160328865,29,39,0,0,F M S,Paris Saint Germain,1,3.9276224561035633,12.103835072368383,5.893092570826411
3259,Adam Ounas,9,112,1,0.34630657732486725,0,1.5296891331672668,4,2,0,0,S,Lille,1,0.34630657732486725,1.3057670593261719,0.14420923590660095
3274,Maxime Gonalons,15,1036,1,0.3151409011334181,0,0.17223735339939594,9,5,3,0,M S,Clermont Foot,1,0.3151409011334181,1.9295024946331978,1.6006995998322964
3389,Benjamin Mendy,8,353,1,0.45610510278493166,0,0.9715374186635017,5,8,3,0,D M S,Lorient,1,0.45610510278493166,1.9657207280397415,0.8406973034143448
3464,Vincent Le Goff,9,560,1,0.13378017023205757,1,0.992842554114759,4,9,1,0,D S,Lorient,1,0.13378017023205757,1.874815944582224,0.9136202055960894
3479,Marcus Coco,13,805,1,0.6682470422238111,0,0.7937847524881363,5,6,1,0,D M S,Nantes,1,0.6682470422238111,2.0784077681601048,1.2811938989907503
3487,Ismael Traoré,13,1170,1,0.4547518528997898,0,0.01133941300213337,4,1,0,0,D,Metz,1,0.4547518528997898,0.36728684417903423,0.3296058736741543
3549,Adrien Thomasson,16,915,1,3.9349088855087757,0,1.797266397625208,20,17,0,1,M S,Lens,1,3.9349088855087757,7.3808047361671925,2.6908054798841476
3603,Corentin Tolisso,12,867,1,1.3633493185043335,0,1.5760129913687706,17,17,3,0,M S,Lyon,0,0.6032541841268539,4.874181628227234,3.2213655691593885
3663,Grejohn Kyei,14,602,1,2.820864222943783,0,0.4445579797029495,16,7,1,0,F S,Clermont Foot,0,2.0607691034674644,2.8478531390428543,0.6881804708391428
3683,Ivan Cavaleiro,12,748,1,1.7073889076709747,1,1.3265497703105211,10,11,1,0,F M S,Lille,1,1.7073889076709747,3.3916874174028635,1.4869045484811068
3693,Nolan Mbemba,5,6,1,0.04534989967942238,0,0,2,0,0,0,S,Le Havre,1,0.04534989967942238,0.04534989967942238,0
3701,Gautier Lloris,16,1432,1,1.2075756071135402,0,0.028953587636351585,6,1,0,0,D,Le Havre,1,1.2075756071135402,2.2548804255202413,2.225926843471825
3713,Samuel Grandsir,13,370,1,1.8474866636097431,0,0.28102280758321285,11,8,1,2,M S,Le Havre,1,1.0873915441334248,1.4601727724075317,0.48077503591775894
4882,Laurent Abergel,17,1530,1,0.5501445345580578,1,0.9665732514113188,9,14,1,0,M,Lorient,1,0.5501445345580578,4.55407015606761,3.588695913553238
5352,Niklas Schmidt,12,795,1,0.9442368540912867,0,1.264367375522852,13,21,3,0,M S,Toulouse,1,0.9442368540912867,3.5038648657500744,1.7959280908107758
5619,Pierre Lees-Melou,16,1427,1,1.0522407377138734,0,0.729076175019145,28,12,5,0,M,Brest,1,1.0522407377138734,6.267889339476824,4.983773343265057
5717,Amine Harit,16,955,1,2.485830135643482,2,2.5604171101003885,23,20,2,0,F M S,Marseille,1,2.485830135643482,6.517097776755691,2.9273119876161218
5742,Hugo Magnetti,17,1143,1,0.45976248756051064,0,0.5169164910912514,14,14,2,0,M S,Brest,1,0.45976248756051064,2.85711520165205,2.1999219618737698
5745,Matthieu Udol,15,1350,1,0.5721756247803569,3,1.7269675843417645,9,17,3,0,D,Metz,1,0.5721756247803569,2.197308700531721,1.2891432773321867
5761,Youssef Maziz,2,131,1,0.4085260033607483,0,0.0428303643129766,4,3,0,0,M,Metz,1,0.4085260033607483,0.47017261385917664,0.08355015516281128
5975,Kenny Lala,17,1530,1,0.2571647143922746,2,1.8578402791172266,8,12,2,0,D,Brest,1,0.2571647143922746,5.051531732082367,4.17952598631382
5976,Yoann Salmier,13,1088,1,1.277535223402083,1,1.2134813591837883,7,4,2,0,D S,Le Havre,1,1.277535223402083,2.2444588970392942,1.7946037780493498
6018,Samuel Moutoussamy,14,676,1,1.382281068712473,0,0.6338402442634106,11,10,2,0,M S,Nantes,1,1.382281068712473,3.194456309080124,1.6866120751947165
6073,Guillermo Maripán,12,902,1,0.3834816962480545,0,0,7,0,0,0,D S,Monaco,1,0.3834816962480545,2.2835064344108105,2.2589426152408123
6147,Denis Zakaria,14,1180,1,1.349111720919609,0,0.10626294650137424,10,5,6,0,D M S,Monaco,1,1.349111720919609,4.245739441365004,3.3590520210564137
6452,Mahdi Camara,16,1017,1,1.4146750047802925,1,1.2437044009566307,15,14,5,0,M S,Brest,1,1.4146750047802925,4.87928059976548,2.8493594378232956
6773,Samuel Gigot,12,1058,1,0.9454334490001202,0,0.20557881519198418,10,4,5,0,D,Marseille,1,0.9454334490001202,3.568851824849844,2.9955351762473583
6878,Youcef Atal,6,373,1,0.14236710593104362,0,0.8520295917987823,4,4,2,0,D S,Nice,1,0.14236710593104362,1.1009004674851894,0.6346094384789467
6945,Youssouf Fofana,15,1330,1,3.4334831424057484,3,1.8389861527830362,28,20,3,0,M,Monaco,1,3.4334831424057484,8.055514395236969,5.7182819144800305
7206,Jonathan Gradit,14,1221,1,0.10611574351787567,0,0.10886004939675331,1,4,6,0,D,Lens,1,0.10611574351787567,3.3843653611838818,3.3054636530578136
7313,Lee Kang-In,10,806,1,1.0384959150105715,2,1.8116522198542953,13,16,2,0,D F M,Paris Saint Germain,1,1.0384959150105715,5.256111428141594,3.287147279828787
7472,Wilfried Stephane Singo,15,1350,1,0.425765679217875,0,0.581242504529655,13,9,5,0,D,Monaco,1,0.425765679217875,4.218157224357128,4.101632200181484
7486,Leonardo Balerdi,12,951,1,0.531358677893877,0,0,5,0,1,1,D S,Marseille,1,0.531358677893877,4.256989225745201,4.256989225745201
7730,Jean-Charles Castelletto,15,1318,1,0.08750700205564499,0,0.11535677220672369,3,4,4,0,D,Nantes,1,0.08750700205564499,3.3403413146734238,3.2670629303902388
7760,Abdoul Kader Bamba,12,282,1,1.648642223328352,1,0.5913962610065937,7,4,1,0,M S,Nantes,1,1.648642223328352,3.6685723066329956,1.9039172604680061
8146,Ismail Jakobs,15,979,1,1.326170390471816,1,1.2434169612824917,14,13,0,0,D M S,Monaco,1,1.326170390471816,4.429208818823099,2.1569016873836517
8640,Adrien Truffert,16,1100,1,0.9628989174962044,1,1.0534310713410378,14,9,1,0,D S,Rennes,1,0.9628989174962044,3.8822495192289352,2.442832089960575
