"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90","color_liga"
"1",8824,"Jude Bellingham",17,1484,13,8.60275633260608,2,2.39494762569666,39,27,4,0,"F M","Real Madrid",13,8.60275633260608,15.0707134455442,7.54668658971786,"España","23-24",0.788409703504043,0.52173050534673,0.121293800539084,0.145246149806401,2.36522911051213,1.63746630727763,0.788409703504043,0.52173050534673,0.913992055322762,0.457683148972107,"red"
"2",1804,"Álvaro Morata",18,1294,12,11.2120508123189,1,0.670967530459166,45,6,1,1,"F S","Atletico Madrid",12,11.2120508123189,13.7635816931725,2.96441031247377,"España","23-24",0.834621329211746,0.779818062680603,0.0695517774343122,0.046666984344146,3.12982998454405,0.417310664605873,0.834621329211746,0.779818062680603,0.957281570622508,0.206180006277156,"red"
"3",2252,"Borja Mayoral",19,1553,12,8.91348104923964,1,1.64786046370864,37,15,2,0,"F M S","Getafe",8,5.94037050381303,8.51684496924281,1.50832348316908,"España","23-24",0.695428203477141,0.516557176066689,0.0579523502897617,0.0954973868214923,2.14423696072118,0.869285254346426,0.463618802318094,0.344258432287941,0.493571183021154,0.0874108908468881,"red"
"4",2270,"Antoine Griezmann",19,1585,11,8.37751266919076,3,3.66330548003316,45,28,3,0,"F M","Atletico Madrid",8,6.14767981134355,17.7794605623931,9.25979567319155,"España","23-24",0.624605678233438,0.475694725695374,0.170347003154574,0.208011036721126,2.55520504731861,1.58990536277603,0.454258675078864,0.34907961073875,1.0095592748362,0.525792814250624,"red"
"5",11736,"Artem Dovbyk",18,1157,11,8.79044104740024,5,3.51602135132998,45,13,1,0,"F S","Girona",8,7.30388582870364,9.93096347153187,1.92308317497373,"España","23-24",0.855661192739844,0.683785388302525,0.388936905790838,0.273502093016161,3.50043215211755,1.01123595505618,0.622299049265341,0.568150150893109,0.77250364082789,0.149591603930541,"red"
"6",1235,"Ante Budimir",19,1401,9,8.27920348290354,2,1.70094705373049,46,7,4,0,"F S","Osasuna",6,6.04937067814171,7.8793201232329,1.1233578491956,"España","23-24",0.578158458244111,0.531854613462754,0.12847965738758,0.109268547348854,2.95503211991435,0.449678800856531,0.385438972162741,0.388610536069061,0.506166174940015,0.0721643157941499,"red"
"7",2120,"Gerard Moreno",16,1259,9,6.20282586850226,2,3.45389454625547,34,26,0,0,"F M S","Villarreal",7,4.71627060882747,9.21089058555663,3.82092965207994,"España","23-24",0.643367752184273,0.443410904023196,0.142970611596505,0.246902707833989,2.43050039714059,1.85861795075457,0.500397140587768,0.337144046699343,0.658443330182761,0.273140324612545,"red"
"8",227,"Robert Lewandowski",17,1355,8,11.6514569446445,4,2.70954977720976,58,16,3,0,"F S","Barcelona",6,10.1649017557502,16.8210734315217,5.63193442858756,"España","23-24",0.531365313653137,0.77389750923838,0.265682656826568,0.179970095903231,3.85239852398524,1.06273062730627,0.398523985239852,0.67515952621219,1.11726686999037,0.374076825515041,"red"
"9",2399,"Iñaki Williams",18,1588,8,7.13282222673297,3,4.27939083613455,54,30,3,0,"F M","Athletic Club",8,7.13282222673297,12.6097182035446,1.62087359279394,"España","23-24",0.453400503778338,0.404253148870256,0.170025188916877,0.242534745120976,3.06045340050378,1.70025188916877,0.453400503778338,0.404253148870256,0.714656573248749,0.091863112941722,"red"
"10",7020,"Gorka Guruzeta",19,1371,8,8.99060907773674,1,1.60609119944274,41,16,2,0,"F S","Athletic Club",8,8.24733146838844,9.72386224009097,1.46758409962058,"España","23-24",0.525164113785558,0.590193156087751,0.0656455142231947,0.105432682676766,2.69146608315098,1.05032822757112,0.525164113785558,0.541400315211495,0.638327936986278,0.0963403128853773,"red"
