id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7006,Lautaro Martínez,17,1441,16,11.409778282046318,2,1.425043798983097,56,14,2,0,F S,Inter,15,10.648479387164116,17.09851862490177,7.477392479777336
502,Olivier Giroud,16,1215,9,7.56715452298522,5,3.342009335756302,31,21,1,1,F S,AC Milan,5,4.521959254518151,8.006204202771187,1.2849265597760677
1612,Domenico Berardi,15,1316,9,6.461632924154401,3,3.347439305856824,48,25,6,0,F M,Sassuolo,4,2.655138874426484,7.716316215693951,3.059455517679453
594,Romelu Lukaku,16,1363,8,7.09735010843724,1,1.5159018523991108,37,12,3,1,F S,Roma,8,6.3360513327643275,9.888888895511627,2.2374980486929417
9965,Matìas Soulè Malvano,17,1497,8,7.19046426564455,1,3.631380246952176,43,41,2,0,F M,Frosinone,5,4.906567735597491,9.710355170071125,4.039077831432223
10366,Albert Gudmundsson,17,1528,8,3.339925952255726,2,2.5573715018108487,29,41,3,0,F M,Genoa,7,2.5786271318793297,5.276493269950151,1.6036704452708364
189,Hakan Calhanoglu,19,1598,7,5.729395775124431,3,3.09554726164788,37,32,4,0,M,Inter,1,1.1616027699783444,13.038992371410131,10.573821812868118
4895,Andrea Pinamonti,19,1572,7,4.913636486977339,0,1.1307236729189754,45,7,2,0,F,Sassuolo,7,4.913636486977339,8.000370174646378,2.974012855440378
5322,Victor Osimhen,13,1012,7,7.042051760479808,2,1.5770328715443611,43,9,2,1,F S,Napoli,5,4.758155344054103,7.407755956053734,1.5814818851649761
5556,Ademola Lookman,18,1151,7,6.973473310470581,3,3.1509123891592026,43,25,2,0,F M S,Atalanta,7,6.973473310470581,12.021214298903942,3.75048291683197
5992,Marcus Thuram,19,1499,7,9.82139703631401,6,1.9868645388633013,50,13,2,0,F,Inter,7,9.82139703631401,14.653710888698697,4.839941803365946
7084,Dusan Vlahovic,17,1079,7,8.712355859577656,3,1.4779817573726177,52,12,3,0,F S,Juventus,6,6.428459353744984,8.546060986816883,2.4730566013604403
8044,Joshua Zirkzee,19,1614,7,4.779744161292911,2,3.477965299040079,44,25,5,0,F S,Bologna,6,4.018445355817676,9.07057961076498,3.0157057642936707
1121,Giacomo Bonaventura,17,1352,6,3.478273969143629,2,1.8443159982562065,31,25,4,0,M S,Fiorentina,6,2.7169751338660717,6.409264864400029,3.0056294817477465
2662,Christian Pulisic,17,1255,6,3.5688329357653856,5,2.3953139008954167,24,23,1,0,F M S,AC Milan,6,3.5688329357653856,9.312815599143505,4.185561742633581
6718,Andrea Colpani,19,1384,6,2.9587770653888583,1,2.9949183221906424,37,27,0,0,F M S,Monza,6,2.9587770653888583,10.272158820182085,5.593884117901325
7074,Nicolás González,13,924,6,4.385886132717133,1,0.8320527467876673,42,11,0,0,M S,Fiorentina,5,3.624587297439575,4.872226312756538,1.459230236709118
11936,Lorenzo Lucca,19,1138,6,5.254824940115213,1,0.5734208822250366,28,12,1,0,F S,Udinese,6,5.254824940115213,5.881049778312445,0.6898207161575556
1148,Duván Zapata,18,1413,5,5.36843032296747,3,1.824362987652421,43,15,0,0,F S,"Atalanta,Torino",5,5.36843032296747,6.564634561538696,2.0727838575839996
1294,Paulo Dybala,13,1000,5,5.825835671275854,6,2.5067189261317253,33,27,2,0,F M,Roma,2,3.5419392250478268,8.0948646068573,5.241609141230583
1433,Federico Chiesa,16,1144,5,4.9701804565265775,1,2.441272981464863,35,24,1,0,F S,Juventus,4,4.20888162124902,9.426197662949562,4.549957789480686
1473,Matteo Politano,18,1211,5,3.512187574058771,3,4.515745855867863,35,42,2,1,F M S,Napoli,4,2.7508887350559235,10.472199700772762,5.323364440351725
6253,Gianluca Scamacca,13,612,5,4.470496773719788,2,0.7227992080152035,31,8,1,0,F S,Atalanta,5,4.470496773719788,5.347340829670429,1.511095441877842
7453,Khvicha Kvaratskhelia,18,1394,5,8.110102877020836,3,3.140416417270899,62,28,4,0,F S,Napoli,5,8.110102877020836,14.507633589208126,5.1891063824296
11306,Cyril Ngonge,18,1364,5,4.27989418618381,2,1.8567383931949735,39,21,4,0,F M S,Verona,5,4.27989418618381,5.707706894725561,1.2937634401023388
1104,Leonardo Pavoletti,13,502,4,2.8644369766116142,1,0.6250302419066429,20,7,3,0,F S,Cagliari,4,2.8644369766116142,3.0453223921358585,0.9383803345263004
1209,Ciro Immobile,16,991,4,5.150650769472122,0,1.59621199965477,21,11,4,0,F S,Lazio,1,2.8667542673647404,5.564748354256153,1.9053049385547638
1517,Antonio Candreva,18,1434,4,2.1063665067777038,4,2.742885386571288,31,38,2,0,M S,Salernitana,4,2.1063665067777038,4.486387249082327,1.131888565607369
3856,Milan Djuric,18,1046,4,3.126012248918414,1,1.4639972299337387,21,14,2,0,F S,Verona,3,1.6034145941957831,4.214157711714506,1.9273739289492369
6160,Riccardo Orsolini,15,856,4,4.246543701738119,1,1.9827990662306547,23,18,1,0,M S,Bologna,3,2.723985966295004,4.612321564927697,1.1488010538741946
7224,Boulaye Dia,13,938,4,4.4269643276929855,0,0.38646248169243336,26,8,1,0,F M S,Salernitana,3,3.665665492415428,4.482350826263428,0.7831974700093269
9969,Teun Koopmeiners,18,1520,4,2.511802488937974,3,3.8488461785018444,28,40,2,0,F M S,Atalanta,4,2.511802488937974,10.12059135362506,6.543501395732164
10404,Éderson,19,1593,4,2.5506948567926884,1,1.1181548908352852,24,12,3,0,M S,Atalanta,4,2.5506948567926884,7.922142893075943,5.597647748887539
11039,Lewis Ferguson,18,1619,4,4.387615866027772,2,1.4353323047980666,36,17,5,0,M,Bologna,4,4.387615866027772,8.096441616304219,3.6676706904545426
